pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
GOBP_POSITIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.000209380234505863	0.038772715957182	0.817978118895734	2.21551540714908	0	21	SCT;IL1B;APOA5;ANGPTL3;APOC2;APOA2	1.41147377640046
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.000224265530387979	0.038772715957182	0.551001417666238	1.9995638571202	0	93	AHSG;APOB;IGFBP1;PROC;SPP2;APOA5;KNG1;MMP1;F2;SERPINC1;IGFALS;APOA2;SERPINA10;ITIH2;ALB;IGF1;TF;SERPINA1;AFP;FGF23;CP;SERPIND1;FGG;FUCA2;MMP2;FN1;IGFBP3;TNC;SDC2;APOE;GPC3	1.41147377640046
HALLMARK_MTORC1_SIGNALING	0.00023094688221709	0.038772715957182	0.482428401966317	1.89770271334754	0	168	CFP;CORO1A;SLC7A5;ITGB2;SLC1A4;SLA;CDC25A;AURKA;IFI30;CXCR4;LDLR;MCM4;TUBA4A;DAPP1;NUFIP1;GLRX;SLC2A1;HK2;BTG2;NFIL3;SHMT2;PHGDH;SLC1A5;BHLHE40;BCAT1;ETF1;DHCR24;RRM2;TFRC;MCM2;P4HA1;SLC7A11;TUBG1;BUB1;LGMN;EGLN3;GLA;STARD4;INSIG1;GGA2;SYTL2;FGL2;MTHFD2;SC5D;VLDLR;TRIB3;EDEM1;IFRD1;HSPA5;LTA4H;CTH;DDIT4;HSPA9;DHFR;CDKN1A;ADD3;PPP1R15A;GOT1;PSMB5;GSR;UNG;TXNRD1;NAMPT;CYP51A1;HSP90B1;M6PR;ERO1A;HMGCS1;PSMD14;GTF2H1;NFKBIB;CTSC;IDH1;HMGCR	1.41147377640046
GOBP_CELLULAR_RESPONSE_TO_LIPID	0.000248941996514812	0.038772715957182	0.335634871108439	1.46976046846045	0	495	IL1B;CCL21;CXCL8;KMO;CAMP;CX3CR1;IRF8;SSTR2;HMGCS2;CCL19;GFI1;CCR7;IL1A;FFAR2;NLRP3;PADI2;CD4;PYCARD;PDCD1LG2;RORC;CD86;TLR4;SLC7A5;CCR5;TNFAIP3;MAP4K1;NR4A3;AICDA;CD180;GATA1;TLR9;IL12B;SYK;ACOD1;PDE4B;CD6;CD80;NOD2;E2F1;TNF;IGF1;CXCL13;PTPN22;GNG2;PCK1;BPI;FBP1;SPON2;IL10;CD14;TLR5;FGF23;PTGDR;SCNN1G;LDLR;CXCL10;LYN;NCF1;FLT3;CXCL9;CCNB1;TGFB1;PCK2;TREM2;CYP7A1;SCIMP;HCK;SFRP1;SERPINF1;CCL2;SIRPA;TLR2;COL1A1;PMEPA1;ZNF683;LPAR1;FCAR;ZC3H12A;IL24;FOS;STAP1;ZFP36;BTG2;PID1;NODAL;TICAM1;AR;MSX2;NUGGC;TCF21;CD40;LY96;MMP2;TNIP3;MRC1;NFKB1;GPRIN3;NFKBIZ;BRCA1;TNC;ADTRP;CCNA2;EPHA3;INSIG1;ESR1;AXIN2;ERRFI1;ABCA1;IRAK2;GBP3;CD274;CRY1;TRERF1;RIPK2;PHC1;CNOT9;TPRG1	1.41147377640046
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.000417536534446764	0.0442032070384561	0.780322265309506	1.91348421345354	1	14	IL1B;APOA5;APOC2;SLC45A3;PTGS2	1.35454622050208
GOBP_MITOTIC_SISTER_CHROMATID_COHESION	0.00042571306939123	0.0442032070384561	0.660455727217807	1.91069329211621	1	28	ESCO2;SGO1;CDC20;HASPIN	1.35454622050208
GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS	0.000619962802231866	0.0551766893986361	0.873926251936235	1.77701925223429	2	7	APOA5;APOC2	1.25824436074405
GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	0.0010827197921178	0.063167927321396	0.58131085143453	1.77189343496273	4	36	APOB;FCER1G;TLR4;ITGB2;APOA2;SYK;LDLR;TLR6;TGFB1;TREM2;TICAM1;ADTRP;ABCA1;APOE;CD68	1.19950337302883
GOBP_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.000868809730668983	0.063167927321396	0.542681981177254	1.76137329299114	3	48	SCT;IL1B;APOA5;HPGD;ANGPTL3;APOC2;APOA2;TNF;SORL1;LDLR;MFSD2A;PIK3CG	1.19950337302883
GOBP_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING	0.0010275380189067	0.063167927321396	0.886110397929753	1.72579996955276	4	6	APOA5;ANGPTL3;APOC2;APOA2	1.19950337302883
