pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
GOBP_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	0.000834724540901503	0.0451776649746193	0.59780447959275	2.21312039259494	0	36	FCER1G;TREM2;APOA2;ADTRP;TGFB1;ITGB2;TLR4;LDLR;LPL;SYK;CD68	1.34507621951668
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS	0.000928074245939675	0.0451776649746193	0.759425353376564	2.20079459070682	1	14	IL1B;APOC2;CD74;PTGS2;APOA5	1.34507621951668
GOBP_POSITIVE_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.000568504832291074	0.0451776649746193	0.664073796435633	2.15645483402531	0	21	IL1B;SCT;APOC2;APOA2;APOA5;ANGPTL3	1.34507621951668
GOBP_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE	0.000885739592559787	0.0451776649746193	0.565724493632997	2.14581106262865	0	39	APOC2;TREM2;APOA2;HMOX1;APOA5;LDLR;LPL;APOC1;SOAT2;EHD1	1.34507621951668
GOBP_RESPONSE_TO_LIPOPROTEIN_PARTICLE	0.000724112961622013	0.0451776649746193	0.595023780981502	2.12201249285349	0	31	FCER1G;TREM2;ADTRP;TGFB1;ITGB2;TLR4;LDLR;LPL;SYK;CD68	1.34507621951668
GOBP_REGULATION_OF_LIPID_CATABOLIC_PROCESS	0.00108108108108108	0.0451776649746193	0.536802625507806	2.12065919836559	0	48	IL1B;SCT;APOC2;APOA2;PIK3CG;APOA5;HPGD;ANGPTL3;LDLR;APOC1;PDE3B;TNF	1.34507621951668
GOBP_CHOLESTEROL_STORAGE	0.000593824228028504	0.0451776649746193	0.641962983222483	2.10253775945569	0	22	TREM2;LPL;STARD4;SOAT2;EHD1;ABCG1;LIPA;MSR1;NR1H3;TTC39B	1.34507621951668
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	0.00115562403697997	0.0451776649746193	0.827857211483393	2.09952970613163	2	9	APOC2;TREM2;APOA2;LDLR	1.34507621951668
GOBP_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE	0.00157811678064177	0.0451776649746193	0.665166031970905	2.05941797679604	2	18	APOC2;TREM2;LDLR;APOC1	1.34507621951668
GOBP_PHOSPHOLIPID_EFFLUX	0.00125575554625366	0.0451776649746193	0.763313692495062	2.05703403246283	2	11	APOC2;APOA2;APOA5;APOC1	1.34507621951668
