pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	-log10FDR
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	0.00113378684807256	0.0984774862325883	0.602325569013061	2.23389538295959	0	22	CD3G;SYK;PIK3CA;PLCG2;PLD4;FCGR1A;PRKCD	1.00666304587334
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	0.00112866817155756	0.0984774862325883	0.746431936589457	2.14268789189095	1	10	ISCA2;FXN;SLC25A28;GLRX5;FDXR;ISCU;FDX2	1.00666304587334
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE	0.00113378684807256	0.0984774862325883	0.567011297425298	2.10292238046569	0	22	BCS1L;TIMM8A;TIMM22;TOMM22;SAMM50;MOAP1;TIMM29;OXA1L;CALM3	1.00666304587334
GOBP_REGULATION_OF_EXIT_FROM_MITOSIS	0.00213371266002845	0.0984774862325883	0.661766262945051	2.08762846890714	2	13	TGFB1;CDC23;CDKN1B;CDC14A;UBE2C;KNTC1;ZW10;PPP1R9B	1.00666304587334
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY	0.00179533213644524	0.0984774862325883	0.499296554725716	2.07284173164118	0	31	TP53;BNIP3L;MUL1;GNB1L;EYA2;VDAC2;SLC35F6;BAK1;SIVA1;SLC25A43;LRRK2;PPIF;BCL2L1;BOK;ATP5IF1	1.00666304587334
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION	0.0033003300330033	0.0984774862325883	0.452244262796993	2.02552178100205	0	46	USP36;PPTC7;TP53;HTRA2;DELE1;ADCY10;BNIP3L;MUL1;GBA1;FKBP8;NOD2;PARL;PARK7;CERS1;SLC25A43;HAX1;RNF41;SREBF1;CCND2;UBE2A;ATP5IF1	1.00666304587334
GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY	0.00227790432801822	0.0984774862325883	0.624087773888245	2.01293315606596	2	14	MRPS2;RCC1L;MRM2;NOA1;MTERF3;MTERF4;MCAT	1.00666304587334
REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION	0.00287631831255992	0.0984774862325883	0.748023519808324	1.99156003479862	5	8	TRMT10C;MRM2;ELAC2;MTERF4;MRM3	1.00666304587334
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION	0.00302114803625378	0.0984774862325883	0.446739312145258	1.97074065931218	0	44	UPP1;TP53;IFI16;SH3GLB1;TBL2;NUAK2;MYBBP1A;ZC3H12A;SLC7A5;MTMR3;KAT5;RRP8;YWHAZ;EIF2AK3;ITFG2;ASNS;PRKAA2;ATF4;YWHAG;SUV39H1;PIK3C3	1.00666304587334
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.00298507462686567	0.0984774862325883	0.448215430869264	1.9667477896614	0	43	FXN;BCS1L;TIMM8A;TIMM22;TOMM22;SAMM50;DNAJC19;PMPCB;GFER;LDHD;PMPCA;COQ2;TIMM17A;ATP5F1A;HSPA9	1.00666304587334
