Liver_1_ctrl	Liver_1_treat1	Liver_1_treat2	Liver_2_ctrl1	Liver_2_ctrl2	Liver_2_ctrl3	Liver_2_treat1	Liver_2_treat2	Liver_2_treat3	Adipo_1_ctrl	Adipo_1_treat1	Adipo_1_treat2	Adipo_2_ctrl1	Adipo_2_ctrl2	Adipo_2_ctrl3	Adipo_2_treat1	Adipo_2_treat2	Adipo_2_treat3
0610005C13Rik	72	18	50	32	17	36.41	33	5	22	3145.89	2131.62	3364	0	2	123	247	181	0
0610006L08Rik	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
0610009E02Rik	6	13	2	0	12	0	13	61	0	3	3	5	0	0	0	0	0	0
0610009L18Rik	29	31	48	42	103	30	47	80	106	5	0	6	0	0	0	0	0	0
0610010K14Rik	76.88	35.76	64.2	176.03	166.47	5	207.43	291.33	340.53	7.18	18.19	65.91	0	0	0	0	62	4
0610012D04Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610025J13Rik	4	0	8	9	16	1	0	8	25	0	0	0	0	0	0	0	0	0
0610030E20Rik	256	227	187	262	379	160	309	315	312	211	159	371	0	0	0	0	0	1
0610031O16Rik	6	0	0	0	0	0	0	0	0	367	319.27	600	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0	0	9	0	4	0	0	0	0	0	0
0610038B21Rik	0	5	21	4	0	9	5	18	10	3	0	0	0	0	0	0	0	0
0610039K10Rik	0	0	0	0	0	2	0	0	3	0	0	3	0	0	0	0	0	0
0610040B10Rik	28	51	27	95	212	54	153	164	171	41	75	118	125	0	0	0	0	0
0610040F04Rik	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	16	13	37	3	1	0	0	0	12	185	307	372	0	0	0	0	0	0
0610043K17Rik	65	36	43	103	101	62	83	67	37	63	44	151	147	0	0	145	0	0
0710001A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010001B22Rik	33	32	13	7	7.23	0	5	4.89	7	14.57	0	6	0	0	0	0	0	0
1100001I12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002L01Rik	99	42	56	94	59	87	82	94	67	81.98	109	73	6	0	44	0	190	5
1110002O04Rik	0	0	0	0	10	0	0	7	0	0	0	0	0	0	0	0	0	0
1110003F10Rik	37	51	67	65	131	72	117	39	30	26	37	42	0	0	0	0	0	0
1110004F10Rik	5347	1508.71	846	1023	1195.36	1955.94	1795.15	1078.04	1203.01	3351.78	1922.98	1539.83	0	307	0	0	0	4
1110006O24Rik	17	2	0	8	19	6	31	11	6	5	0	13	0	0	0	0	0	0
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110015O18Rik	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
1110018N20Rik	0	1	8	5	10	3.57	21	5	0	2	0	0	0	0	0	0	0	0
1110019B22Rik	0	3	2	7	4	1	7	16	8	13	0	8	0	0	0	0	0	0
1110019D14Rik	26	12	2	18	27	10	13	85	37	9	16	11	0	0	0	0	0	0
1110020A21Rik	0	7	10	4	4	8	7	19	14	14	7	16	0	0	0	0	0	0
1110025M09Rik	1	0	0	11	19	0	2	23	20	1	5	0	0	0	0	0	0	0
1110028F11Rik	0	0	1	0	4	0	0	0	0	30	8	25	0	0	0	0	0	0
1110028F18Rik	6	20	66	46	34	3	83	25	2	0	3	3	0	0	0	0	0	0
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110035H17Rik	27	36.88	35	16	38	45	29	7	25	1	8	17	0	0	0	0	0	0
1110038B12Rik	77	11	86	144.99	143	31	311	144	197	38	41	152	0	0	0	0	0	1
1110038F14Rik	316	147	166.91	400	487	179	634	339	562	119	73	120	0	241	0	0	0	0
1110046J04Rik	17	3	3	6	21	46	82	11	18.52	0	0	0	0	0	0	0	0	0
1110058D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	270	171	199	166	149	189.98	247	159	261	182	94	166	104	0	0	0	0	1
1110059G10Rik	92	42.96	39	189	134	25	106	115	123	55.97	59.04	88	0	0	0	0	0	0
1110060G06Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1110065P20Rik	83	74	80	138	198	135	336	216	243	138	107	131	85	0	0	0	0	4
1190001M18Rik	0	0	0	1	0	12	4	0	0	0	0	3	0	0	0	0	0	0
1190005I06Rik	10	85	135	91	105.99	15	110	337	286	18	32	34	0	0	0	0	0	0
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
1300002E11Rik	51.69	12	62.56	42	70.9	49	36	72	89	46	32	49	0	0	0	0	0	0
1300014J16Rik	1	0	0	0	2	0	0	0	0	3	12	8	0	0	0	0	0	0
1500002C15Rik	14	0	6	0	8	0	0	0	12	0	0	0	0	0	0	0	0	0
1500002F19Rik	13	1	0	27	8	5	8	6	36	0	0	0	0	0	0	0	0	0
1500004A13Rik	2	12	0	30.6	57	5.17	23.03	0	8	0	3	11	0	0	0	0	0	0
1500005C15Rik	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
1500009L16Rik	94	60	37	75	32	142	127	39	16	6	0	0	0	0	0	0	0	0
1500012K07Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	19	7	9	21.91	9	7	9	8	10	6	5	13	0	0	0	0	0	0
1500015L24Rik	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	6	0
1500026H17Rik	1	5	15	37	2	7	24	5	41	1.99	4	6	0	0	0	0	0	0
1500032F14Rik	0	0	11	0	2	18	21	6	5	10	0	0	1	93	69	0	0	0
1500035N22Rik	0	0	2	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600010M07Rik	14	0	0	2	17	35	0	1	0	0	0	5	0	0	0	0	0	75
1600012H06Rik	60	13	18	127	50	9	46	139	76	24	55	75	0	0	0	0	0	0
1600012P17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	178	103.07	176	400	422	22.64	381	857.87	1174.89	159.99	328.83	747.02	0	0	0	0	168	1
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600017P15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
